01-04-2016,“Mehbooba  to be sworn in as CM on April 4”:(Greater Kashmir/Rising Kashmir/English Dailies -  Kashmir Uzma//Urdu Daily) ,"Peoples Democratic Party (PDP) President, Mehbooba Mufti is likely to be sworn as the next Chief Minister of Jammu and Kashmir on April 4, 2016 as both the alliance partners, PDP-BJP have conveyed the mutually agreed date for the swearing – in ceremony to Governor/J&K, N. N. Vohra."
01-04-2016,“Mehbooba  to be sworn in as CM on April 4”:(Greater Kashmir/Rising Kashmir/English Dailies -  Kashmir Uzma//Urdu Daily) ,"Sources in PDP-BJP disclosed to local English Daily ‘Greater Kashmir’, “We (PDP-BJP) have conveyed the mutually agreed date of April 4 to Raj Bhawan.” The date for the swearing – in of Mehbooba Mufti, set to be the first woman Chief Minister of Jammu and Kashmir Kashmir and the first woman Chief Minister of Jammu and Kashmir Cabinet was decided after deliberations between the top leadership of the alliance partners."
01-04-2016,“Mehbooba  to be sworn in as CM on April 4”:(Greater Kashmir/Rising Kashmir/English Dailies -  Kashmir Uzma//Urdu Daily) ,"While all the former PDP Ministers, who were part of the previous PDP-BJP government, were set to return to the new State Cabinet, PDP-BJP was still finalizing the list of PDP-BJP leaders who would be inducted into the Council of Ministers, Sources in the PDP said."
01-04-2016,"Greater Kashmir/English Daily: “Eye on South Kashmir by-polls, NC, Congress gear up for battle”","According to J&K’s Chief Electoral Officer, Shantamanu, July 7, 2016 is J&K’s Chief Electoral Officer, Shantamanu, July 7, 2016 deadline for holding elections for Anantnag Assembly seat while the PDP chief could continue as the MP for South Kashmir seat for six months despite holding the Chief Minister’s chair."
01-04-2016,"Greater Kashmir/English Daily: “Eye on South Kashmir by-polls, NC, Congress gear up for battle”",The NC and Congress are hopeful that there might be mid-term polls for Anantnag Assembly seat as Anantnag Assembly seat could not remain vacant for long and that the Election Commission of India might adopt similar approach for the South Kashmir Parliamentary seat as well.
01-04-2016,Greater Kashmir/English Daily: “PM likely to visit J&K on April 19”,Sources told local English Daily ‘Greater Kashmir’ that Prime Minister Narendra Modi was expected to visit Jammu and Kashmir in mid April.
01-04-2016,Greater Kashmir/English Daily: “PM likely to visit J&K on April 19”,"Prime Minister Narendra Modi would inaugurate 230 - bedded super speciality hospital of Shri Mata Vaishno Devi Shrine Board at Kakryal, Katra in Reasi District and participate in 5th convocation of Shri Mata Vaishno Devi University, sources said."
01-04-2016,Greater Kashmir/English Daily: “PM likely to visit J&K on April 19”,"“The PM might also address a public meeting in Reasi district of Jammu region for which a ground has been short listed in Kakryal near the hospital,” a source said."
01-04-2016,Greater Kashmir/English Daily: “PM likely to visit J&K on April 19”,“But the rally is subjected to the clearance from security agencies”.
01-04-2016,"Greater Kashmir/Kashmir Reader/English Dailies – Srinagar Times/Aftab/Kashmir Uzma/Urdu Dailies: “Militant held in Handwara: Police”. “Crackdown in Bejbehara, one militant arrested with arms”",Police claimed to have arrested a local militant from Rajwar area of Handwara in North Kashmir’s Kupwara district.
01-04-2016,"Greater Kashmir/Kashmir Reader/English Dailies – Srinagar Times/Aftab/Kashmir Uzma/Urdu Dailies: “Militant held in Handwara: Police”. “Crackdown in Bejbehara, one militant arrested with arms”","A Police official said that Police and 21 RR launched a search operation in Bakihakar village of Rajwar in Handwara and arrested a militant, identified as Tasaduq Ahmed Pir resident of Shalpora Langate."
