02-01-2017,Government resorting to favouritism in filling vacancies: National Conference  – (English Daily –  Greater Kashmir/ Kashmir Times/ Kashmir Monitor – Urdu Dailies- Aftab/ Tameel-i-Irshad),"National Conference on December 31, said the State Government was resorting the brazen favouritism in filling various vacancies in the SBI and the J&K Police Board in Srinagar."
02-01-2017,Government resorting to favouritism in filling vacancies: National Conference  – (English Daily –  Greater Kashmir/ Kashmir Times/ Kashmir Monitor – Urdu Dailies- Aftab/ Tameel-i-Irshad),It is said that this was unacceptable and unfair to those merit holders who were being discriminated against.
02-01-2017,Polls and drugs: ‘New Year challenge’ for JK’s new DGP – (English Daily – Greater Kashmir),"In an interview with Greater Kashmir, new Director General of Police S P Vaid on December 31 said three elections-Parliament, Panchayat and Municipal- would “ throw up a major challenge” for the police force in 2017."
02-01-2017,Polls and drugs: ‘New Year challenge’ for JK’s new DGP – (English Daily – Greater Kashmir),"He, however, said police is ready to face all these challenges."
02-01-2017,Unregistered Mohali-based company ‘dupes’ Kashmiris on pretext of overseas jobs – (English Daily –  Kashmir Monitor),"A number of Kashmiris have been allegedly duped by an unregistered visa consultancy firm based in Mohali, Punjab, whose classified advertisements have been showing up repeatedly in a local daily here for the past several months."
02-01-2017,Jhelum water level ‘lowest in 60 years’ as dry spell continues – (English Daily - Greater Kashmir),"River Jhelum, the lifeline of Kashmir, is fast drying up due to continued dry spell in the Valley, triggering concerns among people and experts."
02-01-2017,Jhelum water level ‘lowest in 60 years’ as dry spell continues – (English Daily - Greater Kashmir),"As per official data with the Irrigation and Flood Control department, river Jhelum is witnessing lowest water level in 60 years."
02-01-2017,Jhelum water level ‘lowest in 60 years’ as dry spell continues – (English Daily - Greater Kashmir),“Prolonged dry spell and absence of sufficient rainfall have resulted in lowering of water level in river Jhelum.
02-01-2017,Jhelum water level ‘lowest in 60 years’ as dry spell continues – (English Daily - Greater Kashmir),"The present water level at Sangam recorded on December 31, was minus 0.55-ft,” Muhammad Haneef Lone, Chief Engineer of I&FC department told Greater Kashmir."
02-01-2017,Jhelum water level ‘lowest in 60 years’ as dry spell continues – (English Daily - Greater Kashmir),"Muhammad Haneef Lone, Chief Engineer of I&FC department said the water level recorded at Ram Munshi Bagh and Asham was 2.6-ft and 1.25-ft respectively."
