02-03-2017,"Charge sheet framed against 12 students, including 7 Kashmiris – (Urdu Dailies – Srinagar Times/Aftab/Uqab)","Police has framed charge sheet against 12 students, including 7 Kashmiris, who had raised pro-Pakistan slogans on the occasion of Maqbool Butt’s anniversary in Jawaharlal Nehru University last year."
02-03-2017,"Charge sheet framed against 12 students, including 7 Kashmiris – (Urdu Dailies – Srinagar Times/Aftab/Uqab)","It is learnt that Police has obtained 40 video footages and the Centre has also given the Centre green signal for taking action against 12 students, including 7 Kashmiris, who had raised pro-Pakistan slogans on the occasion of Maqbool Butt’s anniversary in Jawaharlal Nehru University last year."
02-03-2017,"Charge sheet framed against 12 students, including 7 Kashmiris – (Urdu Dailies – Srinagar Times/Aftab/Uqab)","charge sheet would be submitted before the Court soon, following which 12 students, including 7 Kashmiris, who had raised pro-Pakistan slogans on the occasion of Maqbool Butt’s anniversary in Jawaharlal Nehru University last year would be arrested and presented before the Court."
02-03-2017,A delegation of National Conference led by Dr. Farooq Abdullah visited a shrine in Baramulla – (Urdu Dailies – Srinagar Times/Aftab/Kashmir Uzma),"President of National Conference (NC), Dr. Farooq Abdullah visited the shrine of Syed Sakhi Janbaz Wali Qadri at Baramulla and prayed for exaltation of Islam and peace and prosperity of the State."
02-03-2017,A delegation of National Conference led by Dr. Farooq Abdullah visited a shrine in Baramulla – (Urdu Dailies – Srinagar Times/Aftab/Kashmir Uzma),"Besides party General Secretary, Ali Muhammad Sagar, several other NC leaders were accompanying party General Secretary, Ali Muhammad Sagar."
02-03-2017,A delegation of National Conference led by Dr. Farooq Abdullah visited a shrine in Baramulla – (Urdu Dailies – Srinagar Times/Aftab/Kashmir Uzma),"Before this, the NC delegation visited Uri (district Baramulla) and offered condolence to the founder member of erstwhile Plebiscite Front, Khwaja Mohi-ul-Din Wani over the demise of Khwaja Mohi-ul-Din Wani son Dr. Reyaz Ahmed."
02-03-2017,Kashmir youth should study history as a most prized object -  (Urdu Dailies – Kashmir Uzma/Tameel-i-Irshad),"In a statement, Patron Mahaz-e-Azadi, Azim Inquilabi has said that Kashmiri nation has started resistance movement with full determination and courage against one-man rule, imperialism and oppression from 1931."
02-03-2017,Kashmir youth should study history as a most prized object -  (Urdu Dailies – Kashmir Uzma/Tameel-i-Irshad),"Patron Mahaz-e-Azadi, Azim Inquilabi urged Kashmiri youth to study history as the most prized object."
02-03-2017,Kashmir youth should study history as a most prized object -  (Urdu Dailies – Kashmir Uzma/Tameel-i-Irshad),"While quoting history, Azim Inquilabi said that Kashmiris have offered numerous sacrifices during past 70 years and have taken the resistance movement to a stage where Kashmir has become a marsh, making difficult for India to come out of India."
02-03-2017,Kashmir youth should study history as a most prized object -  (Urdu Dailies – Kashmir Uzma/Tameel-i-Irshad),"Azim Inquilabi laid stress on stopping oppression in Kashmir and demanded release of political detainees, including Masarat Alam, Dr. Qasim, Shafi Shariati etc."
02-03-2017,Khan Sopori shifted to Baramulla sub-jail - Peoples League expressed annoyance – (Urdu Daily – Tameel-i-Irshad),"An important constituent of Hurriyat (G) and Acting Chairman of J&K Peoples League, Syed Muhammad Shafi expressed Syed Muhammad Shafi annoyance and condemned the shifting of Chairman, Ghulam Muhammad Khan Sopori to sub-jail Baramulla."
02-03-2017,Khan Sopori shifted to Baramulla sub-jail - Peoples League expressed annoyance – (Urdu Daily – Tameel-i-Irshad),"Criticizing the unjustified arrest of ailing leader Khan Sopori, Syed Muhammad Shafi demanded Syed Muhammad Shafi immediate release."
02-03-2017,Khan Sopori shifted to Baramulla sub-jail - Peoples League expressed annoyance – (Urdu Daily – Tameel-i-Irshad),Syed Muhammad Shafi also appealed institution working for human rights to use human rights influence for seeking release of ailing leader Khan Sopori.
02-03-2017,“Restrictions on government supply of Sugar worrisome for consumers” – (Urdu Daily – Kashmir Uzma),"After removing subsidy on sugar by Central Government, people are compelled to purchase sugar from open market on higher rates."
02-03-2017,“Restrictions on government supply of Sugar worrisome for consumers” – (Urdu Daily – Kashmir Uzma),Sugar has not been distributed among the consumers for last several months which have added to the consumers problems.
02-03-2017,“Restrictions on government supply of Sugar worrisome for consumers” – (Urdu Daily – Kashmir Uzma),"Few days back, the J&K Minister for Food and Consumer Affairs admitted that there is no policy with the State Government, adding that alternate arrangements are being made in this regard."
02-03-2017,“Restrictions on government supply of Sugar worrisome for consumers” – (Urdu Daily – Kashmir Uzma),Policy of this nature will shut the doors of progress for poor.
02-03-2017,“Restrictions on government supply of Sugar worrisome for consumers” – (Urdu Daily – Kashmir Uzma),the State Government should take the issue seriously and ensure supply of sugar on government ration depots or make some alternate arrangement in this regard.
02-03-2017,“Appreciable steps taken by Government towards newspapers” – (Urdu Daily – Tameel-i-Irshad),The announcement of by the Government to strengthen print media i.e. newspapers is historical.
02-03-2017,“Appreciable steps taken by Government towards newspapers” – (Urdu Daily – Tameel-i-Irshad),"On the directions of Chief Minister, Mehbooba Mufti, the Director Information clarified during a meeting that henceforth payments of advertisement bills of newspapers would be made on monthly basis."
02-03-2017,“Appreciable steps taken by Government towards newspapers” – (Urdu Daily – Tameel-i-Irshad),"The Editors of newspapers remained in helpless situation during previous years, because The Editors of newspapers advertisements bills were being released after six months or after one year."
02-03-2017,“Appreciable steps taken by Government towards newspapers” – (Urdu Daily – Tameel-i-Irshad),It is worth mentioning that newspapers work as contact between the people and Government.
02-03-2017,“Appreciable steps taken by Government towards newspapers” – (Urdu Daily – Tameel-i-Irshad),"After taking over the charge of Information Department, the Chief Minister has taken some important and historical steps to strengthen the newspapers."
02-03-2017,“Appreciable steps taken by Government towards newspapers” – (Urdu Daily – Tameel-i-Irshad),There is a need that the Chief Minister should go through newspaper on daily basis and advise the Chief Minister Ministers to read newspaper daily so as to get first hand information about the issues and problems of people.
02-03-2017,“Appreciable steps taken by Government towards newspapers” – (Urdu Daily – Tameel-i-Irshad),"Besides this, Information Department and Government should streamline and strengthen relations with newspaper Editors so that contact between the people and Government is strengthened."
02-03-2017,"MGNREGA – Official and non-Official” -  by Ghulam Hassan Behrao Tair, Umer Colony, Gund Qaseer, Bandipora – (Urdu Daily – Tameel-i-Irshad","Recently, Minister for Rural Development and Panchayat Raj stated in the Assembly that people running the MGNREGA schemes are not government employees."
02-03-2017,"MGNREGA – Official and non-Official” -  by Ghulam Hassan Behrao Tair, Umer Colony, Gund Qaseer, Bandipora – (Urdu Daily – Tameel-i-Irshad","It makes clear that this is not a government scheme, though the government is temporarily getting forced labour done on meagre emoluments."
02-03-2017,"MGNREGA – Official and non-Official” -  by Ghulam Hassan Behrao Tair, Umer Colony, Gund Qaseer, Bandipora – (Urdu Daily – Tameel-i-Irshad","When the work is completed, the employees would be terminated."
02-03-2017,"MGNREGA – Official and non-Official” -  by Ghulam Hassan Behrao Tair, Umer Colony, Gund Qaseer, Bandipora – (Urdu Daily – Tameel-i-Irshad","God forbid, if the employees are removed from jobs, the employees future will become dark because the employees are working in the scheme for last 8 to 10 years."
02-03-2017,"MGNREGA – Official and non-Official” -  by Ghulam Hassan Behrao Tair, Umer Colony, Gund Qaseer, Bandipora – (Urdu Daily – Tameel-i-Irshad",It will be better to find out some durable solution.
02-03-2017,"MGNREGA – Official and non-Official” -  by Ghulam Hassan Behrao Tair, Umer Colony, Gund Qaseer, Bandipora – (Urdu Daily – Tameel-i-Irshad","If Minister for Rural Development and Panchayat Raj is really a public representative, Minister for Rural Development and Panchayat Raj should prove Minister for Rural Development and Panchayat Raj ability and save thousands of employees from ruin."
03-03-2017,I joined Congress for the resolution of Kashmir issue: Hamid Karra – (Urdu Dailies – Srinagar Times/Aftab),"While talking to media persons on the sidelines of Executive Committee meeting of J&K PCC, former Member Parliament, Tariq Hamid Karra said that one of the reasons for Tariq Hamid Karra joining Congress was to find ways and mans for the resolution of Kashmir issue."
03-03-2017,I joined Congress for the resolution of Kashmir issue: Hamid Karra – (Urdu Dailies – Srinagar Times/Aftab),"Before joining any party, my first condition was that I will join the party which promises me resolution of Kashmir issue."
03-03-2017,I joined Congress for the resolution of Kashmir issue: Hamid Karra – (Urdu Dailies – Srinagar Times/Aftab),"That doesn’t mean that I want Azadi or accession, Tariq Hamid Karra added."
03-03-2017,Mission of Azadi should be institutionalised: Yousuf Naqash to Hurriyat leaders – (Urdu Daily – Srinagar Times),"At an important meeting of Islamic Political Party (IPP), J&K, J&K Chairman Muhammad Yousuf Naqash urged upon party leaders and workers to strengthen Islamic Political Party (IPP) at ground level."
03-03-2017,Mission of Azadi should be institutionalised: Yousuf Naqash to Hurriyat leaders – (Urdu Daily – Srinagar Times),"Expressing concern over the present situation in the State and issues confronting ongoing freedom movement, its Chairman Muhammad Yousuf Naqash stressed on institutionalization of ongoing freedom movement so that the mission can deliver properly at political, diplomatic, human rights, social, religious and economic fronts."
03-03-2017,Anti-Kashmir policies of the Centre sorrowful: Dr. Mustafa Kamaal – (Urdu Dailies – Aftab/Kashmir Uzma/Tameel-i-Irshad),"Condemning the anti-Kashmir policies, anti-democratic steps and anti-people decisions of the Centre and the Centre repeated interference in religious affairs, Additional General Secretary of National Conference, Dr. Mustafa Kamaal has said that it is clearly visible that New Delhi does not want durable peace in the State of Jammu and Kashmir."
03-03-2017,Anti-Kashmir policies of the Centre sorrowful: Dr. Mustafa Kamaal – (Urdu Dailies – Aftab/Kashmir Uzma/Tameel-i-Irshad),"While addressing a meeting of party functionaries and workers at Sher-i-Kashmir Bhawan, Jammu, Dr. Mustafa Kamaal said that suggestion of Home Minister to control mosques, Madrasas and media is against the democratic and secular character."
03-03-2017,Anti-Kashmir policies of the Centre sorrowful: Dr. Mustafa Kamaal – (Urdu Dailies – Aftab/Kashmir Uzma/Tameel-i-Irshad),"The position of Kashmir issue can’t be changed by such steps, Dr. Mustafa Kamaal added."
03-03-2017,Release of youth expected before Darbar Move; Putting restrictions on the arrest of minors also under consideration – (Urdu Daily - Kashmir Uzma),"In view of upcoming Parliament by-elections and Panchayat elections, the State Government wants to convey good message to the people."
03-03-2017,Release of youth expected before Darbar Move; Putting restrictions on the arrest of minors also under consideration – (Urdu Daily - Kashmir Uzma),"If sources are to be believed, a decision has been taken to release 18 separatists detained under PSA and some other young boys."
03-03-2017,Release of youth expected before Darbar Move; Putting restrictions on the arrest of minors also under consideration – (Urdu Daily - Kashmir Uzma),"Besides this, cases of youth in the age groups of 18 to 30 years are being reviewed."
03-03-2017,Release of youth expected before Darbar Move; Putting restrictions on the arrest of minors also under consideration – (Urdu Daily - Kashmir Uzma),the State Government the State Government has also taken a decision to put restrictions on the arrest of minors involved in stone-pelting.
03-03-2017,Narendra Modi’s visit to the State expected after March 15; Would inaugurate Chenani – Nashri tunnel – (Urdu Daily – Tameel-i-Irshad),"In the third week of current month, Prime Minister, Narendra Modi is expected to visit the State when Narendra Modi would be inaugurating 9.5 Kms Chenani - Nashri tunnel on Srinagar – Jammu National Highway."
03-03-2017,Narendra Modi’s visit to the State expected after March 15; Would inaugurate Chenani – Nashri tunnel – (Urdu Daily – Tameel-i-Irshad),"During Narendra Modi stay in Jammu, Prime Minister would be holding meeting with Chief Minister, Mehbooba Mufti and Mehbooba Mufti Cabinet colleagues to personally review the progress in development works."
