Mercury_SC_405296,Which change would be harmful to the habitat of a squirrel?,new plant growth,New plant growth change would be harmful to the habitat of a squirrel.,new plant growth change --- would --> would harmful to habitat of squirrel || new plant growth change --- would --> would harmful to habitat || new plant growth change --- would --> would harmful || plant growth change --- would --> would harmful to habitat || plant growth change --- would --> would harmful || plant growth change --- would --> would harmful to habitat of squirrel ||,changing of the seasons,Changing of the seasons change would be harmful to the habitat of a squirrel.,,cutting down trees to build houses,Cutting down trees to build houses change would be harmful to the habitat of a squirrel.,,planting pine seedlings,Planting pine seedlings change would be harmful to the habitat of a squirrel.,planting --- would --> would harmful || planting --- would --> would harmful to habitat || planting --- would --> would harmful to habitat of squirrel ||,NA,NA,NA
MCAS_2006_8_31,Students are studying the process of photosynthesis in plants. Which of the following is a product of photosynthesis?,carbon dioxide,Students are studying the process of photosynthesis in plants. Carbon dioxide is a product of photosynthesis.,students --- are studying --> process of photosynthesis || students --- are studying --> process || students --- are studying --> process of photosynthesis in plants || students --- are studying --> process in plants || process --- is in --> plants || carbon dioxide --- is product of --> photosynthesis || carbon dioxide --- is --> product ||,nitrogen,Students are studying the process of photosynthesis in plants. Nitrogen is a product of photosynthesis.,students --- are studying --> process of photosynthesis || students --- are studying --> process || students --- are studying --> process of photosynthesis in plants || students --- are studying --> process in plants || process --- is in --> plants || nitrogen --- is product of --> photosynthesis || nitrogen --- is --> product ||,sodium chloride,Students are studying the process of photosynthesis in plants. Sodium chloride is a product of photosynthesis.,students --- are studying --> process of photosynthesis || students --- are studying --> process || students --- are studying --> process of photosynthesis in plants || students --- are studying --> process in plants || process --- is in --> plants || sodium chloride --- is product of --> photosynthesis || sodium chloride --- is --> product ||,sugar,Students are studying the process of photosynthesis in plants. Sugar is a product of photosynthesis.,students --- are studying --> process of photosynthesis || students --- are studying --> process || students --- are studying --> process of photosynthesis in plants || students --- are studying --> process in plants || process --- is in --> plants || sugar --- is product of --> photosynthesis || sugar --- is --> product ||,NA,NA,NA
MCAS_2015_5_14,Which of the following describes water changing from liquid to solid?,ice forming on a lake,Ice forming on a lake describes water changing from liquid to solid.,ice --- describes --> water changing to solid || ice --- describes --> water changing from liquid || ice --- describes --> water changing from liquid to solid || ice --- forming on --> lake || ice --- describes --> water || ice --- describes --> water changing || water --- changing to --> solid || water --- changing from --> liquid ||,dew forming on grass,Dew forming on grass describes water changing from liquid to solid.,dew --- describes --> water || dew --- forming on --> grass || dew --- describes --> water changing to solid || dew --- describes --> water changing || dew --- describes --> water changing from liquid || dew --- describes --> water changing from liquid to solid || water --- changing to --> solid || water --- changing from --> liquid ||,snow melting into a puddle,Snow melting into a puddle describes water changing from liquid to solid.,snow melting --- describes --> water changing || snow melting --- describes --> water || snow melting --- describes --> water changing to solid || snow melting --- describes --> water changing from liquid to solid || snow melting --- describes --> water changing from liquid || water --- changing to --> solid || water --- changing from --> liquid ||,water evaporating from a pond,Water evaporating from a pond describes water changing from liquid to solid.,water --- evaporating from --> pond || water --- describes --> water changing from liquid to solid || water --- describes --> water changing from liquid || water --- describes --> water changing || water --- describes --> water changing to solid || water --- changing to --> solid || water --- describes --> water || water --- changing from --> liquid ||,NA,NA,NA
Mercury_417465,Producers can use photosynthesis to capture energy for food webs in most ecosystems. In which ecosystem must producers capture energy from gases such as methane and hydrogen sulfide?,coral reef,Producers can use photosynthesis to capture energy for food webs in most ecosystems. In coral reef ecosystem must producers capture energy from gases such as methane and hydrogen sulfide.,,high desert,Producers can use photosynthesis to capture energy for food webs in most ecosystems. In high desert ecosystem must producers capture energy from gases such as methane and hydrogen sulfide.,producers --- capture energy in --> most ecosystems || producers --- can use --> photosynthesis || producers --- capture energy in --> ecosystems || producers --- must capture --> energy || producers --- must capture energy from --> gases || producers --- must capture energy in --> desert ecosystem || producers --- must capture energy in --> high desert ecosystem ||,oceanic trench,Producers can use photosynthesis to capture energy for food webs in most ecosystems. In oceanic trench ecosystem must producers capture energy from gases such as methane and hydrogen sulfide.,producers --- capture energy in --> most ecosystems || producers --- can use --> photosynthesis || producers --- capture energy in --> ecosystems || producers --- must capture energy in --> oceanic trench ecosystem || producers --- must capture --> energy || producers --- must capture energy from --> gases || producers --- must capture energy in --> trench ecosystem ||,evergreen forest,Producers can use photosynthesis to capture energy for food webs in most ecosystems. In evergreen forest ecosystem must producers capture energy from gases such as methane and hydrogen sulfide.,producers --- capture energy in --> most ecosystems || producers --- can use --> photosynthesis || producers --- capture energy in --> ecosystems || producers --- must capture energy from --> gases || producers --- must capture --> energy || producers --- must capture energy in --> evergreen forest ecosystem ||,NA,NA,NA
MCAS_1998_4_19,Planets orbit,Earth.,Planets orbit earth.,planets --- orbit --> earth ||,the Moon.,Planets orbit the moon.,planets --- orbit --> moon ||,the galaxy.,Planets orbit the galaxy.,planets --- orbit --> galaxy ||,the Sun.,Planets orbit the sun.,planets --- orbit --> sun ||,NA,NA,NA
Mercury_7214778,Students design an investigation to study the effect of different surfaces on the speed of a ball rolling down a ramp. Which of these is the independent variable?,time to roll down the ramp,Students design an investigation to study the effect of different surfaces on the speed of a ball rolling down a ramp. Time to roll down the ramp of these is the independent variable.,,mass of the ball,Students design an investigation to study the effect of different surfaces on the speed of a ball rolling down a ramp. Mass of the ball of these is the independent variable.,mass --- is --> variable || mass --- is --> independent variable || ball --- mass of is --> independent variable || ball --- mass of is --> variable ||,diameter of the ball,Students design an investigation to study the effect of different surfaces on the speed of a ball rolling down a ramp. Diameter of the ball of these is the independent variable.,diameter --- is --> variable || diameter --- is --> independent variable || ball --- diameter of is --> variable || ball --- diameter of is --> independent variable ||,kind of surface on the ramp,Students design an investigation to study the effect of different surfaces on the speed of a ball rolling down a ramp. Kind of surface on the ramp of these is the independent variable.,kind --- is --> independent variable || kind --- is --> variable || surface --- kind of is --> variable || surface --- kind of is --> independent variable ||,NA,NA,NA
Mercury_7123393,"Sometimes, large meteoroids enter the atmosphere of Earth and reach the ground. Scientists identify possible impact sites when they find",carbon deposits.,"Sometimes, large meteoroids enter the atmosphere of Earth and reach the ground. Scientists identify possible impact sites carbon deposits they find",large meteoroids --- sometimes enter --> atmosphere of earth || large meteoroids --- enter --> atmosphere of earth || large meteoroids --- reach --> ground || large meteoroids --- sometimes enter --> atmosphere || large meteoroids --- enter --> atmosphere || meteoroids --- reach --> ground || meteoroids --- sometimes enter --> atmosphere || meteoroids --- enter --> atmosphere || meteoroids --- sometimes enter --> atmosphere of earth || meteoroids --- enter --> atmosphere of earth || scientists --- identify --> possible impact sites ||,volcanic materials.,"Sometimes, large meteoroids enter the atmosphere of Earth and reach the ground. Scientists identify possible impact sites volcanic materials they find",large meteoroids --- sometimes enter --> atmosphere of earth || large meteoroids --- enter --> atmosphere of earth || large meteoroids --- reach --> ground || large meteoroids --- sometimes enter --> atmosphere || large meteoroids --- enter --> atmosphere || meteoroids --- reach --> ground || meteoroids --- sometimes enter --> atmosphere || meteoroids --- enter --> atmosphere || meteoroids --- sometimes enter --> atmosphere of earth || meteoroids --- enter --> atmosphere of earth || scientists --- identify --> possible impact sites ||,strike-slip faults.,"Sometimes, large meteoroids enter the atmosphere of Earth and reach the ground. Scientists identify possible impact sites strike-slip faults they find",large meteoroids --- sometimes enter --> atmosphere of earth || large meteoroids --- enter --> atmosphere of earth || large meteoroids --- reach --> ground || large meteoroids --- sometimes enter --> atmosphere || large meteoroids --- enter --> atmosphere || meteoroids --- reach --> ground || meteoroids --- sometimes enter --> atmosphere || meteoroids --- enter --> atmosphere || meteoroids --- sometimes enter --> atmosphere of earth || meteoroids --- enter --> atmosphere of earth || scientists --- identify --> possible impact sites ||,bowl-shaped craters.,"Sometimes, large meteoroids enter the atmosphere of Earth and reach the ground. Scientists identify possible impact sites bowl-shaped craters they find",large meteoroids --- sometimes enter --> atmosphere of earth || large meteoroids --- enter --> atmosphere of earth || large meteoroids --- reach --> ground || large meteoroids --- sometimes enter --> atmosphere || large meteoroids --- enter --> atmosphere || meteoroids --- reach --> ground || meteoroids --- sometimes enter --> atmosphere || meteoroids --- enter --> atmosphere || meteoroids --- sometimes enter --> atmosphere of earth || meteoroids --- enter --> atmosphere of earth || scientists --- identify --> possible impact sites ||,NA,NA,NA
Mercury_7207550,"For many years, scientists have found fossils in rock layers in all parts of the world. Eventually scientists discovered that many of the rock layers showed the same pattern of older fossils being located in deeper rock layers and younger fossils being located in shallower layers. This discovery is an example of how scientific knowledge changes as",fossils are preserved in different ways.,"For many years, scientists have found fossils in rock layers in all parts of the world. Eventually scientists discovered that many of the rock layers showed the same pattern of older fossils being located in deeper rock layers and younger fossils being located in shallower layers. This discovery is an example of fossils are preserved in different ways scientific knowledge changes as",fossils --- is in --> rock layers || rock layers --- pattern of --> fossils || rock layers --- same pattern of --> fossils || rock layers --- showed --> pattern || rock layers --- pattern of --> older fossils || rock layers --- same pattern of --> older fossils || rock layers --- showed --> same pattern of fossils || rock layers --- showed --> same pattern of older fossils || rock layers --- showed --> pattern of older fossils || rock layers --- showed --> pattern of fossils || rock layers --- showed --> same pattern || discovery --- is --> example preserved in ways || discovery --- is --> example preserved || discovery --- are preserved in --> different ways || discovery --- is example of --> fossils || discovery --- is --> example of fossils preserved in different ways || discovery --- is --> example of fossils preserved || discovery --- is --> example of fossils preserved in ways || discovery --- is --> example preserved in different ways || discovery --- is --> example || discovery --- are --> preserved || discovery --- are preserved in --> ways ||,conclusions about fossils are revised into questions.,"For many years, scientists have found fossils in rock layers in all parts of the world. Eventually scientists discovered that many of the rock layers showed the same pattern of older fossils being located in deeper rock layers and younger fossils being located in shallower layers. This discovery is an example of conclusions about fossils are revised into questions scientific knowledge changes as",fossils --- is in --> rock layers || rock layers --- pattern of --> fossils || rock layers --- same pattern of --> fossils || rock layers --- showed --> pattern || rock layers --- pattern of --> older fossils || rock layers --- same pattern of --> older fossils || rock layers --- showed --> same pattern of fossils || rock layers --- showed --> same pattern of older fossils || rock layers --- showed --> pattern of older fossils || rock layers --- showed --> pattern of fossils || rock layers --- showed --> same pattern || discovery --- is --> example || discovery --- is example of --> conclusions about fossils || discovery --- is example of --> conclusions ||,fossils are formed in different areas.,"For many years, scientists have found fossils in rock layers in all parts of the world. Eventually scientists discovered that many of the rock layers showed the same pattern of older fossils being located in deeper rock layers and younger fossils being located in shallower layers. This discovery is an example of fossils are formed in different areas scientific knowledge changes as",fossils --- is in --> rock layers || rock layers --- pattern of --> fossils || rock layers --- same pattern of --> fossils || rock layers --- showed --> pattern || rock layers --- pattern of --> older fossils || rock layers --- same pattern of --> older fossils || rock layers --- showed --> same pattern of fossils || rock layers --- showed --> same pattern of older fossils || rock layers --- showed --> pattern of older fossils || rock layers --- showed --> pattern of fossils || rock layers --- showed --> same pattern || discovery --- is --> example of fossils formed in areas || discovery --- is example of --> fossils || discovery --- is --> example of fossils formed in different areas || discovery --- are formed in --> different areas || discovery --- is --> example formed || discovery --- are formed in --> areas || discovery --- is --> example formed in different areas || discovery --- is --> example || discovery --- is --> example of fossils formed || discovery --- is --> example formed in areas || discovery --- are --> formed ||,new fossil evidence is reviewed.,"For many years, scientists have found fossils in rock layers in all parts of the world. Eventually scientists discovered that many of the rock layers showed the same pattern of older fossils being located in deeper rock layers and younger fossils being located in shallower layers. This discovery is an example of new fossil evidence is reviewed scientific knowledge changes as",fossils --- is in --> rock layers || rock layers --- pattern of --> fossils || rock layers --- same pattern of --> fossils || rock layers --- showed --> pattern || rock layers --- pattern of --> older fossils || rock layers --- same pattern of --> older fossils || rock layers --- showed --> same pattern of fossils || rock layers --- showed --> same pattern of older fossils || rock layers --- showed --> pattern of older fossils || rock layers --- showed --> pattern of fossils || rock layers --- showed --> same pattern || discovery --- is example of --> fossil evidence || discovery --- is example of --> new evidence || discovery --- is example of --> evidence || discovery --- is --> example || discovery --- is example of --> new fossil evidence ||,NA,NA,NA
Mercury_SC_405827,"Two girls are pulling on opposite ends of a thick rope. Both girls pull on the rope with the same force but in opposite directions. If both girls continue to pull with the same force, what will most likely happen?",One girl will pull the other toward her.,"Two girls are pulling on opposite ends of a thick rope. Both girls pull on the rope with the same force but in opposite directions. If both girls continue to pull with the same force, one girl will pull the other toward her will most likely happen.",two girls --- are pulling on --> ends || two girls --- are pulling on --> opposite ends || two girls --- are pulling on --> opposite ends of rope || two girls --- are pulling on --> opposite ends of thick rope || two girls --- are pulling on --> ends of rope || two girls --- are pulling on --> ends of thick rope || girls --- are pulling on --> ends of thick rope || girls --- are pulling on --> ends of rope || girls --- are pulling on --> ends || girls --- are pulling on --> opposite ends of rope || girls --- are pulling on --> opposite ends of thick rope || girls --- are pulling on --> opposite ends || girls --- continue --> pull with force || girls --- pull with --> force || girls --- continue --> pull || girls --- pull with --> same force || girls --- continue --> pull with same force || one girl --- will pull --> other || girl --- will pull --> other ||,Both girls will stay in the same place.,"Two girls are pulling on opposite ends of a thick rope. Both girls pull on the rope with the same force but in opposite directions. If both girls continue to pull with the same force, both girls will stay in the same place will most likely happen.",two girls --- are pulling on --> ends || two girls --- are pulling on --> opposite ends || two girls --- are pulling on --> opposite ends of rope || two girls --- are pulling on --> opposite ends of thick rope || two girls --- are pulling on --> ends of rope || two girls --- are pulling on --> ends of thick rope || girls --- are pulling on --> ends of thick rope || girls --- are pulling on --> ends of rope || girls --- are pulling on --> ends || girls --- are pulling on --> opposite ends of rope || girls --- are pulling on --> opposite ends of thick rope || girls --- are pulling on --> opposite ends || girls --- continue --> pull with force || girls --- pull with --> force || girls --- will stay in --> same place || girls --- continue --> pull || girls --- will stay --> girls continue || girls --- pull with --> same force || girls --- continue --> pull with same force || girls --- will stay in --> place ||,Gravity will cause the rope to sag.,"Two girls are pulling on opposite ends of a thick rope. Both girls pull on the rope with the same force but in opposite directions. If both girls continue to pull with the same force, gravity will cause the rope to sag will most likely happen.",two girls --- are pulling on --> ends || two girls --- are pulling on --> opposite ends || two girls --- are pulling on --> opposite ends of rope || two girls --- are pulling on --> opposite ends of thick rope || two girls --- are pulling on --> ends of rope || two girls --- are pulling on --> ends of thick rope || girls --- are pulling on --> ends of thick rope || girls --- are pulling on --> ends of rope || girls --- are pulling on --> ends || girls --- are pulling on --> opposite ends of rope || girls --- are pulling on --> opposite ends of thick rope || girls --- are pulling on --> opposite ends || girls --- continue --> pull with force || girls --- pull with --> force || girls --- continue --> pull || girls --- pull with --> same force || girls --- continue --> pull with same force || gravity --- will cause rope to --> sag || gravity --- will cause rope --> girls continue || gravity --- will cause --> rope ||,The rope will break.,"Two girls are pulling on opposite ends of a thick rope. Both girls pull on the rope with the same force but in opposite directions. If both girls continue to pull with the same force, the rope will break will most likely happen.",two girls --- are pulling on --> ends || two girls --- are pulling on --> opposite ends || two girls --- are pulling on --> opposite ends of rope || two girls --- are pulling on --> opposite ends of thick rope || two girls --- are pulling on --> ends of rope || two girls --- are pulling on --> ends of thick rope || girls --- are pulling on --> ends of thick rope || girls --- are pulling on --> ends of rope || girls --- are pulling on --> ends || girls --- are pulling on --> opposite ends of rope || girls --- are pulling on --> opposite ends of thick rope || girls --- are pulling on --> opposite ends || girls --- continue --> pull with force || girls --- pull with --> force || girls --- continue --> pull || girls --- pull with --> same force || girls --- continue --> pull with same force || rope --- will break --> girls continue ||,NA,NA,NA
NYSEDREGENTS_2015_4_11,Which energy transfer occurs when a student blows a whistle?,electrical to sound,Electrical to sound energy transfer occurs when a student blows a whistle.,student --- blows --> whistle ||,light to electrical,Light to electrical energy transfer occurs when a student blows a whistle.,student --- blows --> whistle ||,heat to mechanical,Heat to mechanical energy transfer occurs when a student blows a whistle.,student --- blows --> whistle ||,mechanical to sound,Mechanical to sound energy transfer occurs when a student blows a whistle.,student --- blows --> whistle ||,NA,NA,NA
Mercury_404097,The inner core of Earth is solid because of the,rate of rotation.,The inner core of Earth is solid because of the rate of rotation.,core --- is --> solid || core --- is solid because of --> rate of rotation || core --- is solid because of --> rate || inner core --- is --> solid || inner core --- is solid because of --> rate of rotation || inner core --- is solid because of --> rate ||,extreme temperature.,The inner core of Earth is solid because of the extreme temperature.,core --- is --> solid || core --- is solid because of --> extreme temperature || core --- is solid because of --> temperature || inner core --- is --> solid || inner core --- is solid because of --> temperature || inner core --- is solid because of --> extreme temperature ||,amount of pressure.,The inner core of Earth is solid because of the amount of pressure.,core --- is --> solid || core --- is solid because of --> amount of pressure || core --- is solid because of --> amount || inner core --- is --> solid || inner core --- is solid because of --> amount of pressure || inner core --- is solid because of --> amount ||,magnetic field.,The inner core of Earth is solid because of the magnetic field.,core --- is --> solid || core --- is solid because of --> field || core --- is solid because of --> magnetic field || inner core --- is solid because of --> magnetic field || inner core --- is --> solid || inner core --- is solid because of --> field ||,NA,NA,NA
