Mercury_SC_400578,Which is an example of a learned behavior?,A tiger hunts a deer.,A tiger hunts a deer is an example of a learned behavior.,tiger --- hunts --> deer ||,A mouse runs from a coyote.,A mouse runs from a coyote is an example of a learned behavior.,mouse runs --- is example of --> learned behavior || mouse runs --- is --> example || mouse runs --- is example of --> behavior || mouse --- runs from --> coyote ||,A salmon migrates up a river.,A salmon migrates up a river is an example of a learned behavior.,salmon --- migrates up --> river ||,A woodpecker taps a tree for insects.,A woodpecker taps a tree for insects is an example of a learned behavior.,woodpecker taps --- is example of --> learned behavior || woodpecker taps --- is example of --> behavior || woodpecker taps --- is --> example ||,NA,NA,NA
MCAS_2001_8_4,Suppose 20 g of liquid hydrogen peroxide is heated so it completely breaks down into liquid water and oxygen gas. Which best describes the total mass of the water and oxygen that was produced?,more than 20 g because of the addition of heat,Suppose 20 g of liquid hydrogen peroxide is heated so it completely breaks down into liquid water and oxygen gas. More than 20 g because of the addition of heat best describes the total mass of the water and oxygen that was produced.,it --- breaks down into --> water || it --- completely breaks down into --> water || it --- breaks down into --> liquid water || it --- completely breaks down into --> liquid water || suppose --- is --> heated || oxygen --- was --> produced ||,more than 20 g because there are now two substances,Suppose 20 g of liquid hydrogen peroxide is heated so it completely breaks down into liquid water and oxygen gas. More than 20 g because there are now two substances best describes the total mass of the water and oxygen that was produced.,it --- breaks down into --> water || it --- completely breaks down into --> water || it --- breaks down into --> liquid water || it --- completely breaks down into --> liquid water || suppose --- is --> heated || oxygen --- was --> produced || two substances --- best describes --> total mass || two substances --- describes --> total mass || two substances --- best describes --> mass || two substances --- describes --> mass || substances --- best describes --> mass || substances --- describes --> mass || substances --- best describes --> total mass || substances --- describes --> total mass ||,less than 20 g because oxygen gas is very light,Suppose 20 g of liquid hydrogen peroxide is heated so it completely breaks down into liquid water and oxygen gas. Less than 20 g because oxygen gas is very light best describes the total mass of the water and oxygen that was produced.,it --- breaks down into --> water || it --- completely breaks down into --> water || it --- breaks down into --> liquid water || it --- completely breaks down into --> liquid water || suppose --- is --> heated || oxygen --- was --> produced ||,20 g because no matter is added or removed,Suppose 20 g of liquid hydrogen peroxide is heated so it completely breaks down into liquid water and oxygen gas. 20 g because no matter is added or removed best describes the total mass of the water and oxygen that was produced.,it --- breaks down into --> water || it --- completely breaks down into --> water || it --- breaks down into --> liquid water || it --- completely breaks down into --> liquid water || suppose --- is --> heated ||,NA,NA,NA
MCAS_2003_5_33,"Air has no color and cannot be seen, yet it takes up space. What could be done to show that air takes up space?",observe clouds forming,"Air has no color and cannot be seen, yet it takes up space. Observe clouds forming could be done to show that air takes up space.",it --- yet takes up --> space || it --- takes up --> space || air --- takes up --> space ||,measure the air temperature,"Air has no color and cannot be seen, yet it takes up space. Measure the air temperature could be done to show that air takes up space.",it --- yet takes up --> space || it --- takes up --> space || air temperature --- be done --> show || air temperature --- be --> done || air --- takes up --> space ||,blow up a beach ball or balloon,"Air has no color and cannot be seen, yet it takes up space. Blow up a beach ball or balloon could be done to show that air takes up space.",it --- yet takes up --> space || it --- takes up --> space || air --- takes up --> space ||,weigh a glass before and after it is filled with water,"Air has no color and cannot be seen, yet it takes up space. Weigh a glass before and after it is filled with water could be done to show that air takes up space.",it --- yet takes up --> space || it --- takes up --> space || it --- is filled with --> water || it --- is --> filled || air --- takes up --> space ||,NA,NA,NA
Mercury_7068513,Which geologic process most likely caused the formation of the Mount St. Helens Volcano?,converging boundaries,Which geologic process most likely caused the formation of the Mount St. Helens Volcano?,,diverging boundaries,Which geologic process most likely caused the formation of the Mount St. Helens Volcano?,,transform faults,Which geologic process most likely caused the formation of the Mount St. Helens Volcano?,,rift zones,Which geologic process most likely caused the formation of the Mount St. Helens Volcano?,,NA,NA,NA
AKDE&ED_2008_4_26,Which example shows a relationship between a living thing and a nonliving thing?,An insect is food for a salmon.,An insect is food for a salmon example shows a relationship between a living thing and a nonliving thing.,food --- shows --> relationship between living thing || food --- shows --> relationship || insect --- is --> food || insect --- is food for --> salmon example ||,Water carries a rock downstream.,Water carries a rock downstream example shows a relationship between a living thing and a nonliving thing.,downstream example --- shows --> relationship between living thing || downstream example --- shows --> relationship || downstream example --- relationship between --> living thing || example --- shows --> relationship || example --- relationship between --> living thing || example --- shows --> relationship between living thing ||,A tree removes a gas from the air.,A tree removes a gas from the air example shows a relationship between a living thing and a nonliving thing.,tree --- removes --> gas || tree --- removes gas from --> air example ||,A flower makes food for a butterfly.,A flower makes food for a butterfly example shows a relationship between a living thing and a nonliving thing.,flower --- makes --> food || food --- shows --> relationship between living thing || food --- shows relationship for --> butterfly example || food --- shows --> relationship ||,NA,NA,NA
Mercury_7235638,"Images from the Voyager and the Galileo spacecraft provide evidence Europa has a liquid ocean under a surface of ice that results in part from distinctive, surface-cracking patterns produced by which events?",volcanic eruptions,"Images from the Voyager and the Galileo spacecraft provide evidence Europa has a liquid ocean under a surface of ice that results in part from distinctive, surface-cracking patterns produced by volcanic eruptions events.",images --- provide --> evidence europa ||,tectonic movements,"Images from the Voyager and the Galileo spacecraft provide evidence Europa has a liquid ocean under a surface of ice that results in part from distinctive, surface-cracking patterns produced by tectonic movements events.",images --- provide --> evidence europa ||,asteroid impacts,"Images from the Voyager and the Galileo spacecraft provide evidence Europa has a liquid ocean under a surface of ice that results in part from distinctive, surface-cracking patterns produced by asteroid impacts events.",images --- provide --> evidence europa ||,solar flares,"Images from the Voyager and the Galileo spacecraft provide evidence Europa has a liquid ocean under a surface of ice that results in part from distinctive, surface-cracking patterns produced by solar flares events.",images --- provide --> evidence europa ||,NA,NA,NA
MDSA_2009_5_20,"All natural resources on Earth are either renewable or nonrenewable. Whether a resource is renewable or nonrenewable depends on how fast or slow the resource is replaced. If the resource is used faster than it is replaced, then the resource will, in time, disappear. Which activity shows the use of a nonrenewable natural resource?",A group of people swims in a river.,"All natural resources on Earth are either renewable or nonrenewable. Whether a resource is renewable or nonrenewable depends on how fast or slow the resource is replaced. If the resource is used faster than it is replaced, then the resource will, in time, disappear. A group of people swims in a river activity shows the use of a nonrenewable natural resource.",resource --- is --> fast replaced || resource --- is renewable --> fast replaced || resource --- is --> how fast replaced || resource --- is renewable --> how fast replaced || resource --- is --> renewable || resource --- is --> replaced || resource --- is renewable --> replaced || resource --- will disappear --> used faster || resource --- is --> used faster || resource --- is --> used || resource --- will disappear --> used || resource --- will disappear in --> time || it --- is --> replaced || group --- swims in --> river activity ||,A construction crew builds an iron bridge.,"All natural resources on Earth are either renewable or nonrenewable. Whether a resource is renewable or nonrenewable depends on how fast or slow the resource is replaced. If the resource is used faster than it is replaced, then the resource will, in time, disappear. A construction crew builds an iron bridge activity shows the use of a nonrenewable natural resource.",resource --- is --> fast replaced || resource --- is renewable --> fast replaced || resource --- is --> how fast replaced || resource --- is renewable --> how fast replaced || resource --- is --> renewable || resource --- is --> replaced || resource --- is renewable --> replaced || resource --- will disappear --> used faster || resource --- is --> used faster || resource --- is --> used || resource --- will disappear --> used || resource --- will disappear in --> time || it --- is --> replaced || construction crew --- builds --> iron bridge activity ||,A farmer grows vegetables to sell at a local market.,"All natural resources on Earth are either renewable or nonrenewable. Whether a resource is renewable or nonrenewable depends on how fast or slow the resource is replaced. If the resource is used faster than it is replaced, then the resource will, in time, disappear. A farmer grows vegetables to sell at a local market activity shows the use of a nonrenewable natural resource.",resource --- is --> fast replaced || resource --- is renewable --> fast replaced || resource --- is --> how fast replaced || resource --- is renewable --> how fast replaced || resource --- is --> renewable || resource --- is --> replaced || resource --- is renewable --> replaced || resource --- will disappear --> used faster || resource --- is --> used faster || resource --- is --> used || resource --- will disappear --> used || resource --- will disappear in --> time || it --- is --> replaced || farmer --- grows --> vegetables || farmer --- grows --> sell at market activity || farmer --- grows --> sell || farmer --- grows --> sell at local market activity || vegetables --- sell at --> market activity || vegetables --- sell at --> local market activity || farmer grows --- shows --> use of nonrenewable natural resource || farmer grows --- shows --> use of natural resource || farmer grows --- shows --> use of nonrenewable resource || farmer grows --- shows --> use of resource || farmer grows --- shows --> use ||,A person bakes a cake with electricity produced by a hydroelectric power plant.,"All natural resources on Earth are either renewable or nonrenewable. Whether a resource is renewable or nonrenewable depends on how fast or slow the resource is replaced. If the resource is used faster than it is replaced, then the resource will, in time, disappear. A person bakes a cake with electricity produced by a hydroelectric power plant activity shows the use of a nonrenewable natural resource.",resource --- is --> fast replaced || resource --- is renewable --> fast replaced || resource --- is --> how fast replaced || resource --- is renewable --> how fast replaced || resource --- is --> renewable || resource --- is --> replaced || resource --- is renewable --> replaced || resource --- will disappear --> used faster || resource --- is --> used faster || resource --- is --> used || resource --- will disappear --> used || resource --- will disappear in --> time || it --- is --> replaced || person --- bakes --> cake with electricity produced by power plant activity || person --- bakes --> cake with electricity produced || person --- bakes --> cake with electricity || person --- bakes --> cake || person --- bakes --> cake with electricity produced by hydroelectric power plant activity || cake --- is with --> electricity produced by hydroelectric power plant activity ||,NA,NA,NA
Mercury_178325,"Scientists studied largemouth bass populations in several different geographic locations. They recorded information about the size, number, and weight of fish in each population. Which of the following will be best suited for recording these data?",a map,"Scientists studied largemouth bass populations in several different geographic locations. They recorded information about the size, number, and weight of fish in each population. A map will be best suited for recording these data.",scientists --- studied bass populations in --> several geographic locations || scientists --- studied bass populations in --> several locations || scientists --- studied bass populations in --> geographic locations || scientists --- studied bass populations in --> different locations || scientists --- studied bass populations in --> several different geographic locations || scientists --- studied --> largemouth bass populations || scientists --- studied bass populations in --> different geographic locations || scientists --- studied bass populations in --> locations || scientists --- studied bass populations in --> several different locations || scientists --- studied --> bass populations || information --- is in --> population || they --- recorded --> information about size in population || they --- recorded --> information in population || map --- recording --> data || map --- will --> will best suited || map --- will --> will suited ||,a diagram,"Scientists studied largemouth bass populations in several different geographic locations. They recorded information about the size, number, and weight of fish in each population. A diagram will be best suited for recording these data.",scientists --- studied bass populations in --> several geographic locations || scientists --- studied bass populations in --> several locations || scientists --- studied bass populations in --> geographic locations || scientists --- studied bass populations in --> different locations || scientists --- studied bass populations in --> several different geographic locations || scientists --- studied --> largemouth bass populations || scientists --- studied bass populations in --> different geographic locations || scientists --- studied bass populations in --> locations || scientists --- studied bass populations in --> several different locations || scientists --- studied --> bass populations || information --- is in --> population || they --- recorded --> information about size in population || they --- recorded --> information in population || diagram --- will --> will suited || diagram --- recording --> data || diagram --- will --> will best suited ||,a chart,"Scientists studied largemouth bass populations in several different geographic locations. They recorded information about the size, number, and weight of fish in each population. A chart will be best suited for recording these data.",scientists --- studied bass populations in --> several geographic locations || scientists --- studied bass populations in --> several locations || scientists --- studied bass populations in --> geographic locations || scientists --- studied bass populations in --> different locations || scientists --- studied bass populations in --> several different geographic locations || scientists --- studied --> largemouth bass populations || scientists --- studied bass populations in --> different geographic locations || scientists --- studied bass populations in --> locations || scientists --- studied bass populations in --> several different locations || scientists --- studied --> bass populations || information --- is in --> population || they --- recorded --> information about size in population || they --- recorded --> information in population || chart --- will --> will suited || chart --- will --> will best suited || chart --- recording --> data ||,a graph,"Scientists studied largemouth bass populations in several different geographic locations. They recorded information about the size, number, and weight of fish in each population. A graph will be best suited for recording these data.",scientists --- studied bass populations in --> several geographic locations || scientists --- studied bass populations in --> several locations || scientists --- studied bass populations in --> geographic locations || scientists --- studied bass populations in --> different locations || scientists --- studied bass populations in --> several different geographic locations || scientists --- studied --> largemouth bass populations || scientists --- studied bass populations in --> different geographic locations || scientists --- studied bass populations in --> locations || scientists --- studied bass populations in --> several different locations || scientists --- studied --> bass populations || information --- is in --> population || they --- recorded --> information about size in population || they --- recorded --> information in population || graph --- will --> will best suited || graph --- recording --> data || graph --- will --> will suited ||,NA,NA,NA
Mercury_7212678,A bar magnet was moved quickly back and forth in a coil of copper wire. The ends of the wire were connected to a small lightbulb. Which of the following was the device created for?,to generate an electric current,A bar magnet was moved quickly back and forth in a coil of copper wire. The ends of the wire were connected to a small lightbulb. To generate an electric current was the device created for.,bar magnet --- was moved back in --> coil || bar magnet --- was moved quickly back and forth in --> coil || bar magnet --- was moved back and forth in --> coil || bar magnet --- was moved quickly back in --> coil || bar magnet --- was moved quickly in --> coil || bar magnet --- was moved in --> coil || bar magnet --- was --> moved back || bar magnet --- was --> moved || bar magnet --- was moved back in --> coil of copper wire || bar magnet --- was moved quickly back and forth in --> coil of copper wire || bar magnet --- was moved back and forth in --> coil of copper wire || bar magnet --- was moved quickly back in --> coil of copper wire || bar magnet --- was moved quickly in --> coil of copper wire || bar magnet --- was moved in --> coil of copper wire || bar magnet --- was --> moved quickly || bar magnet --- was --> moved quickly back || ends --- were connected to --> lightbulb || ends --- were connected to --> small lightbulb || ends --- were --> connected || device --- was --> created || device --- was --> created for ||,to increase the strength of the magnet,A bar magnet was moved quickly back and forth in a coil of copper wire. The ends of the wire were connected to a small lightbulb. To increase the strength of the magnet was the device created for.,bar magnet --- was moved back in --> coil || bar magnet --- was moved quickly back and forth in --> coil || bar magnet --- was moved back and forth in --> coil || bar magnet --- was moved quickly back in --> coil || bar magnet --- was moved quickly in --> coil || bar magnet --- was moved in --> coil || bar magnet --- was --> moved back || bar magnet --- was --> moved || bar magnet --- was moved back in --> coil of copper wire || bar magnet --- was moved quickly back and forth in --> coil of copper wire || bar magnet --- was moved back and forth in --> coil of copper wire || bar magnet --- was moved quickly back in --> coil of copper wire || bar magnet --- was moved quickly in --> coil of copper wire || bar magnet --- was moved in --> coil of copper wire || bar magnet --- was --> moved quickly || bar magnet --- was --> moved quickly back || ends --- were connected to --> lightbulb || ends --- were connected to --> small lightbulb || ends --- were --> connected || device --- was --> created for || device --- increase --> strength || device --- increase --> strength of magnet || device --- was --> created ||,to heat the copper wire,A bar magnet was moved quickly back and forth in a coil of copper wire. The ends of the wire were connected to a small lightbulb. To heat the copper wire was the device created for.,bar magnet --- was moved back in --> coil || bar magnet --- was moved quickly back and forth in --> coil || bar magnet --- was moved back and forth in --> coil || bar magnet --- was moved quickly back in --> coil || bar magnet --- was moved quickly in --> coil || bar magnet --- was moved in --> coil || bar magnet --- was --> moved back || bar magnet --- was --> moved || bar magnet --- was moved back in --> coil of copper wire || bar magnet --- was moved quickly back and forth in --> coil of copper wire || bar magnet --- was moved back and forth in --> coil of copper wire || bar magnet --- was moved quickly back in --> coil of copper wire || bar magnet --- was moved quickly in --> coil of copper wire || bar magnet --- was moved in --> coil of copper wire || bar magnet --- was --> moved quickly || bar magnet --- was --> moved quickly back || ends --- were connected to --> lightbulb || ends --- were connected to --> small lightbulb || ends --- were --> connected || device --- was --> created || device --- was --> created for ||,to transfer protons to the lightbulb,A bar magnet was moved quickly back and forth in a coil of copper wire. The ends of the wire were connected to a small lightbulb. To transfer protons to the lightbulb was the device created for.,bar magnet --- was moved back in --> coil || bar magnet --- was moved quickly back and forth in --> coil || bar magnet --- was moved back and forth in --> coil || bar magnet --- was moved quickly back in --> coil || bar magnet --- was moved quickly in --> coil || bar magnet --- was moved in --> coil || bar magnet --- was --> moved back || bar magnet --- was --> moved || bar magnet --- was moved back in --> coil of copper wire || bar magnet --- was moved quickly back and forth in --> coil of copper wire || bar magnet --- was moved back and forth in --> coil of copper wire || bar magnet --- was moved quickly back in --> coil of copper wire || bar magnet --- was moved quickly in --> coil of copper wire || bar magnet --- was moved in --> coil of copper wire || bar magnet --- was --> moved quickly || bar magnet --- was --> moved quickly back || ends --- were connected to --> lightbulb || ends --- were connected to --> small lightbulb || ends --- were --> connected || device --- was --> created for || device --- was --> created ||,NA,NA,NA
TAKS_2009_8_32,Which of the following traits is most influenced by the environment?,Body weight,Body weight traits is most influenced by the environment.,body weight traits --- is --> influenced || body weight traits --- is most influenced by --> environment || body weight traits --- is influenced by --> environment || body weight traits --- is --> most influenced ||,Eye color,Eye color traits is most influenced by the environment.,eye color traits --- is most influenced by --> environment || eye color traits --- is influenced by --> environment || eye color traits --- is --> influenced || eye color traits --- is --> most influenced ||,Blood type,Blood type traits is most influenced by the environment.,blood type traits --- is most influenced by --> environment || blood type traits --- is influenced by --> environment || blood type traits --- is --> influenced || blood type traits --- is --> most influenced ||,Color blindness,Color blindness traits is most influenced by the environment.,color blindness traits --- is most influenced by --> environment || color blindness traits --- is influenced by --> environment || color blindness traits --- is --> influenced || color blindness traits --- is --> most influenced ||,NA,NA,NA
Mercury_412681,"Which of the following actions will increase the gravitational force between two masses, m_{1} and m_{2}, by the greatest amount?",Halve the mass of m_{1} and halve the distance between m_{1} and m_{2}.,"Halve the mass of m_{1} and halve the distance between m_{1} and m_{2} actions will increase the gravitational force between two masses, m_{1} and m_{2}, by the greatest amount.",,Halve the mass of m_{1} and double the distance between m_{1} and m_{2}.,"Halve the mass of m_{1} and double the distance between m_{1} and m_{2} actions will increase the gravitational force between two masses, m_{1} and m_{2}, by the greatest amount.",,Double the mass of m_{1} and halve the distance between m_{1} and m_{2}.,"Double the mass of m_{1} and halve the distance between m_{1} and m_{2} actions will increase the gravitational force between two masses, m_{1} and m_{2}, by the greatest amount.",,Double the mass of m_{1} and double the distance between m_{1} and m_{2}.,"Double the mass of m_{1} and double the distance between m_{1} and m_{2} actions will increase the gravitational force between two masses, m_{1} and m_{2}, by the greatest amount.",,NA,NA,NA
